Kolumna1,Kolumna2,Kolumna3,Kolumna4
SPP900059,00:00:30:00,#N/D,
SPP900060,00:00:30:00,#N/D,
SPP900061,00:00:30:00,#N/D,
SPP900062,00:00:30:00,#N/D,
SPP900063,00:00:30:00,#N/D,
SPP900064,00:00:30:00,#N/D,
SPP900065,00:00:30:00,#N/D,
SPP900066,00:00:30:00,#N/D,
SPP900067,00:00:30:00,#N/D,
SPP900068,00:00:30:00,#N/D,
SPP900069,00:00:30:00,#N/D,
SPP900070,00:00:30:00,#N/D,
SPP900071,00:00:30:00,#N/D,
SPP900072,00:00:30:00,#N/D,
SPP900073,00:00:30:00,#N/D,
SPP900074,00:00:30:00,#N/D,
SPP900080,00:00:30:00,#N/D,
SPP900081,00:00:30:00,#N/D,
SPP900082,00:00:30:00,#N/D,
SPP900083,00:00:30:00,#N/D,
SPP900084,00:00:30:00,#N/D,
SPP900085,00:01:14:23,#N/D,
SPP900086,00:00:30:00,#N/D,
SPP900087,00:00:30:00,#N/D,
SPP900088,00:00:30:00,#N/D,
SPP900089,00:00:30:00,#N/D,
SPP900090,00:00:30:00,#N/D,
SPP900091,00:00:30:00,#N/D,
SPP900092,00:00:30:00,#N/D,
SPP900093,00:02:25:00,#N/D,
SPP900094,00:01:45:20,#N/D,
SPP900095,00:01:56:22,#N/D,
SPP900096,00:01:26:11,#N/D,
SPP900097,00:01:20:06,#N/D,
SPP900098,00:00:29:15,#N/D,
SPP900099,00:02:44:06,#N/D,
SPP900100,00:00:34:01,#N/D,
SPP900101,00:00:32:24,#N/D,
SPP900102,00:00:30:00,#N/D,
SPP900103,00:00:30:00,#N/D,
SPP900109,00:00:10:00,#N/D,
SPP900110,00:00:10:00,#N/D,
SPP900111,00:00:10:00,#N/D,
SPP900112,00:00:10:00,#N/D,
SPP900113,00:00:10:00,#N/D,
SPP900114,00:00:10:00,#N/D,
SPP900115,00:00:10:00,#N/D,
SPP900116,00:00:10:00,#N/D,
SPP900117,00:00:10:00,#N/D,
SPP900118,00:00:10:00,#N/D,
SPP900119,00:00:10:00,#N/D,
SPP900120,00:00:10:00,#N/D,
SPP900121,00:00:10:00,#N/D,
SPP900122,00:00:10:00,#N/D,
SPP900123,00:00:10:00,#N/D,
SPP900124,00:00:10:00,#N/D,
SPP900125,00:00:10:00,#N/D,
SPP900126,00:00:10:00,#N/D,
SPP900127,00:00:10:00,#N/D,
SPP900128,00:00:10:00,#N/D,
SPP900134,00:00:10:00,#N/D,
SPP900135,00:00:10:00,#N/D,
SPP900136,00:00:10:00,#N/D,
SPP900137,00:00:10:00,#N/D,
SPP900138,00:00:10:00,#N/D,
SPP900139,00:00:30:00,#N/D,
SPP900140,00:00:30:00,#N/D,
SPP900141,00:00:30:00,#N/D,
SPP900142,00:00:30:00,#N/D,
SPP900143,00:00:30:00,#N/D,
SPP900144,00:00:10:00,#N/D,
SPP900145,00:00:10:00,#N/D,
SPP900146,00:00:10:00,#N/D,
SPP900147,00:00:10:00,#N/D,
SPP900148,00:00:10:00,#N/D,
SPP900149,00:01:14:23,#N/D,
SPP900150,00:01:14:23,#N/D,
SPP900151,00:00:30:00,#N/D,
SPP900152,00:00:30:00,#N/D,
SPP900153,00:00:30:00,#N/D,
SPP900154,00:00:30:00,#N/D,
SPP900155,00:00:30:00,#N/D,
SPP900156,00:00:10:00,#N/D,
SPP900157,00:00:10:00,#N/D,
SPP900158,00:00:10:00,#N/D,
SPP900159,00:00:10:00,#N/D,
SPP900160,00:00:10:00,#N/D,
SPP900161,00:03:41:09,#N/D,
SPP900162,00:02:35:00,#N/D,
SPP900163,00:01:00:00,#N/D,
SPP900164,00:01:34:23,#N/D,
SPP900165,00:01:06:05,#N/D,
SPP900166,00:03:27:18,#N/D,
SPP900167,00:04:07:20,#N/D,
SPP900168,00:01:31:19,#N/D,
SPP900169,00:04:15:12,#N/D,
SPP900170,00:05:00:14,#N/D,
SPP900171,00:05:16:15,#N/D,
SPP900172,00:05:59:16,#N/D,
SPP900173,00:02:55:21,#N/D,
SPP900174,00:02:56:22,#N/D,
SPP900175,00:05:11:21,#N/D,
SPP900176,00:01:40:00,#N/D,
SPP900177,00:02:26:12,#N/D,
SPP900178,00:05:00:13,#N/D,
SPP900179,00:03:03:00,#N/D,
SPP900180,00:05:00:12,#N/D,
SPP900181,00:03:21:04,#N/D,
SPP900182,00:03:04:11,#N/D,
SPP900183,00:01:46:14,#N/D,
SPP900184,00:03:45:16,#N/D,
SPP900185,00:02:11:17,#N/D,
SPP900187,00:00:09:17,#N/D,
SPP900188,00:00:10:18,#N/D,
SPP900189,00:00:10:00,#N/D,
SPP900190,00:00:10:00,#N/D,
SPP900191,00:00:10:00,#N/D,
SPP900195,00:00:10:00,#N/D,
SPP900196,00:00:10:00,#N/D,
SPP900197,00:00:10:00,#N/D,
SPP900199,00:00:30:00,#N/D,
SPP900200,00:00:30:00,#N/D,
SPP900201,00:00:30:00,#N/D,
SPP900202,00:00:30:00,#N/D,
SPP900203,00:00:30:00,#N/D,
SPP900204,00:00:15:00,#N/D,
SPP900205,00:00:15:00,#N/D,
SPP900206,00:00:15:00,#N/D,
SPP900207,00:00:15:00,#N/D,
SPP900208,00:00:15:00,#N/D,
SPP900209,00:00:30:00,#N/D,
SPP900210,00:00:30:00,#N/D,
SPP900211,00:00:30:00,#N/D,
SPP900212,00:00:30:00,#N/D,
SPP900213,00:00:30:00,#N/D,
SPP900214,00:00:15:00,#N/D,
SPP900215,00:00:15:00,#N/D,
SPP900216,00:00:15:00,#N/D,
SPP900217,00:00:15:00,#N/D,
SPP900218,00:00:15:00,#N/D,
SPP900219,00:00:30:00,#N/D,
SPP900220,00:00:30:00,#N/D,
SPP900221,00:00:30:00,#N/D,
SPP900222,00:00:30:00,#N/D,
SPP900223,00:00:15:00,#N/D,
SPP900224,00:00:15:00,#N/D,
SPP900225,00:00:15:00,#N/D,
SPP900226,00:00:15:00,#N/D,
SPP900227,00:00:45:00,#N/D,
SPP900228,00:00:30:00,#N/D,
SPP900229,00:00:30:00,#N/D,
SPP900230,00:00:30:00,#N/D,
SPP900231,00:00:30:00,#N/D,
SPP900232,00:00:30:00,#N/D,
SPP900233,00:00:30:00,#N/D,
SPP900234,00:00:30:00,#N/D,
SPP900235,00:00:15:00,#N/D,
SPP900236,00:00:15:00,#N/D,
SPP900237,00:00:15:00,#N/D,
SPP900238,00:00:15:00,#N/D,
SPP900239,00:00:15:00,#N/D,
SPP900240,00:00:15:00,#N/D,
SPP900241,00:00:15:00,#N/D,
SPP900242,00:00:30:00,#N/D,
SPP900243,00:00:30:00,#N/D,
SPP900244,00:00:30:00,#N/D,
SPP900245,00:00:30:00,#N/D,
SPP900246,00:00:15:00,#N/D,
SPP900247,00:00:15:00,#N/D,
SPP900248,00:00:15:00,#N/D,
SPP900249,00:00:15:00,#N/D,
SPP900250,00:00:30:00,#N/D,
SPP900251,00:00:30:00,#N/D,
SPP900252,00:00:30:00,#N/D,
SPP900253,00:00:30:00,#N/D,
SPP900254,00:00:30:00,#N/D,
SPP900255,00:00:30:00,#N/D,
SPP900256,00:00:30:00,#N/D,
SPP900257,00:00:15:00,#N/D,
SPP900258,00:00:15:00,#N/D,
SPP900259,00:00:15:00,#N/D,
SPP900260,00:00:15:00,#N/D,
SPP900261,00:00:15:00,#N/D,
SPP900262,00:00:15:00,#N/D,
SPP900263,00:00:15:00,#N/D,
SPP900264,00:00:30:00,#N/D,
SPP900265,00:00:30:00,#N/D,
SPP900266,00:00:30:00,#N/D,
SPP900267,00:00:30:00,#N/D,
SPP900268,00:00:30:00,#N/D,
SPP900269,00:00:30:00,#N/D,
SPP900270,00:00:30:00,#N/D,
SPP900271,00:00:15:00,#N/D,
SPP900272,00:00:15:00,#N/D,
SPP900273,00:00:15:00,#N/D,
SPP900274,00:00:15:00,#N/D,
SPP900275,00:00:30:00,#N/D,
SPP900276,00:00:30:00,#N/D,
SPP900277,00:00:30:00,#N/D,
SPP900278,00:00:30:00,#N/D,
SPP900279,00:00:15:00,#N/D,
SPP900280,00:00:15:00,#N/D,
SPP900281,00:00:15:00,#N/D,
SPP900282,00:00:15:00,#N/D,
SPP900283,00:00:30:00,#N/D,
SPP900284,00:00:30:00,#N/D,
SPP900285,00:00:30:00,#N/D,
SPP900286,00:00:30:00,#N/D,
SPP900287,00:00:15:00,#N/D,
SPP900288,00:00:15:00,#N/D,
SPP900289,00:00:15:00,#N/D,
SPP900290,00:00:15:00,#N/D,
SPP900291,00:00:30:00,#N/D,
SPP900292,00:00:30:00,#N/D,
SPP900293,00:00:30:00,#N/D,
SPP900294,00:00:30:00,#N/D,
SPP900295,00:00:15:00,#N/D,
SPP900296,00:00:15:00,#N/D,
SPP900297,00:00:15:00,#N/D,
SPP900298,00:00:15:00,#N/D,
SPP900300,00:00:30:00,#N/D,
SPP900301,00:00:30:00,#N/D,
SPP900302,00:00:30:00,#N/D,
SPP900303,00:00:30:00,#N/D,
SPP900305,00:00:15:00,#N/D,
SPP900306,00:00:15:00,#N/D,
SPP900307,00:00:15:00,#N/D,
SPP900308,00:00:15:00,#N/D,
SPP900309,00:00:45:00,#N/D,
SPP900310,00:00:35:00,#N/D,
SPP900311,00:00:05:00,#N/D,
SPP900312,00:00:05:00,#N/D,
SPP900313,00:00:30:00,#N/D,
SPP900314,00:00:30:00,#N/D,
SPP900315,00:00:30:00,#N/D,
SPP900316,00:00:30:00,#N/D,
SPP900317,00:00:30:00,#N/D,
SPP900318,00:00:15:00,#N/D,
SPP900319,00:00:15:00,#N/D,
SPP900320,00:00:15:00,#N/D,
SPP900321,00:00:15:00,#N/D,
SPP900322,00:00:15:00,#N/D,
SPP900323,00:00:30:00,#N/D,
SPP900324,00:00:30:00,#N/D,
SPP900325,00:00:30:00,#N/D,
SPP900326,00:00:30:00,#N/D,
SPP900327,00:00:30:00,#N/D,
SPP900328,00:00:15:00,#N/D,
SPP900329,00:00:15:00,#N/D,
SPP900330,00:00:15:00,#N/D,
SPP900331,00:00:15:00,#N/D,
SPP900332,00:00:15:00,#N/D,
SPP900333,00:00:30:00,#N/D,
SPP900334,00:00:30:00,#N/D,
SPP900335,00:00:30:00,#N/D,
SPP900336,00:00:30:00,#N/D,
SPP900337,00:00:30:00,#N/D,
SPP900338,00:00:15:00,#N/D,
SPP900339,00:00:15:00,#N/D,
SPP900340,00:00:15:00,#N/D,
SPP900341,00:00:15:00,#N/D,
SPP900342,00:00:15:00,#N/D,
SPP900343,00:00:30:00,#N/D,
SPP900344,00:00:30:00,#N/D,
SPP900345,00:00:30:00,#N/D,
SPP900346,00:00:30:00,#N/D,
SPP900347,00:00:15:00,#N/D,
SPP900348,00:00:15:00,#N/D,
SPP900349,00:00:15:00,#N/D,
SPP900350,00:00:15:00,#N/D,
SPP900351,00:00:30:00,#N/D,
SPP900352,00:00:30:00,#N/D,
SPP900353,00:00:30:00,#N/D,
SPP900354,00:00:30:00,#N/D,
SPP900355,00:00:15:00,#N/D,
SPP900356,00:00:15:00,#N/D,
SPP900357,00:00:15:00,#N/D,
SPP900358,00:00:15:00,#N/D,
SPP900359,00:00:45:00,#N/D,
SPP900360,00:00:30:00,#N/D,
SPP900361,00:00:30:00,#N/D,
SPP900362,00:00:30:00,#N/D,
SPP900363,00:00:30:00,#N/D,
SPP900364,00:00:30:00,#N/D,
SPP900365,00:00:30:00,#N/D,
SPP900366,00:00:30:00,#N/D,
SPP900367,00:00:30:00,#N/D,
SPP900368,00:00:30:00,#N/D,
SPP900369,00:00:15:00,#N/D,
SPP900370,00:00:15:00,#N/D,
SPP900371,00:00:15:00,#N/D,
SPP900372,00:00:15:00,#N/D,
SPP900373,00:00:15:00,#N/D,
SPP900374,00:00:15:00,#N/D,
SPP900375,00:00:15:00,#N/D,
SPP900376,00:00:15:00,#N/D,
SPP900377,00:00:15:00,#N/D,
SPP900378,00:00:30:00,#N/D,
SPP900379,00:00:30:00,#N/D,
SPP900380,00:00:30:00,#N/D,
SPP900381,00:00:30:00,#N/D,
SPP900382,00:00:30:00,#N/D,
SPP900383,00:00:15:00,#N/D,
SPP900384,00:00:15:00,#N/D,
SPP900385,00:00:15:00,#N/D,
SPP900386,00:00:15:00,#N/D,
SPP900387,00:00:15:00,#N/D,
SPP900388,00:00:30:00,#N/D,
SPP900389,00:00:30:00,#N/D,
SPP900390,00:00:30:00,#N/D,
SPP900391,00:00:30:00,#N/D,
SPP900392,00:00:30:00,#N/D,
SPP900393,00:00:15:00,#N/D,
SPP900394,00:00:15:00,#N/D,
SPP900395,00:00:15:00,#N/D,
SPP900396,00:00:15:00,#N/D,
SPP900397,00:00:15:00,#N/D,
SPP900398,00:00:30:00,#N/D,
SPP900399,00:00:30:00,#N/D,
SPP900403,00:00:15:00,#N/D,
SPP900404,00:00:15:00,#N/D,
SPP900408,00:00:30:00,#N/D,
SPP900409,00:00:30:00,#N/D,
SPP900410,00:00:30:00,#N/D,
SPP900411,00:00:30:00,#N/D,
SPP900412,00:00:30:00,#N/D,
SPP900413,00:00:15:00,#N/D,
SPP900414,00:00:15:00,#N/D,
SPP900416,00:00:15:00,#N/D,
SPP900417,00:00:15:00,#N/D,
SPP900418,00:00:30:00,#N/D,
SPP900419,00:00:15:01,#N/D,
SPP900420,00:00:30:00,#N/D,
SPP900421,00:00:15:00,#N/D,
SPP900428,00:00:30:00,#N/D,
SPP900429,00:00:30:00,#N/D,
SPP900430,00:00:30:00,#N/D,
SPP900431,00:00:30:00,#N/D,
SPP900432,00:00:30:00,#N/D,
SPP900433,00:00:30:00,#N/D,
SPP900434,00:00:15:00,#N/D,
SPP900435,00:00:15:00,#N/D,
SPP900436,00:00:15:00,#N/D,
SPP900437,00:00:15:00,#N/D,
SPP900438,00:00:15:00,#N/D,
SPP900439,00:00:15:00,#N/D,
SPP900440,00:00:30:00,#N/D,
SPP900441,00:00:30:00,#N/D,
SPP900445,00:00:15:00,#N/D,
SPP900446,00:00:15:00,#N/D,
SPP900447,00:00:30:00,#N/D,
SPP900448,00:00:30:00,#N/D,
SPP900449,00:00:30:00,#N/D,
SPP900450,00:00:30:00,#N/D,
SPP900451,00:00:30:00,#N/D,
SPP900452,00:00:30:00,#N/D,
SPP900453,00:00:30:00,#N/D,
SPP900454,00:00:30:00,#N/D,
SPP900455,00:00:30:00,#N/D,
SPP900456,00:00:30:00,#N/D,
SPP900457,00:00:30:00,#N/D,
SPP900458,00:00:30:00,#N/D,
SPP900459,00:00:30:00,#N/D,
SPP900460,00:00:30:00,#N/D,
SPP900461,00:00:30:00,#N/D,
SPP900462,00:00:30:00,#N/D,
SPP900463,00:00:30:00,#N/D,
SPP900464,00:00:15:00,#N/D,
SPP900465,00:00:15:00,#N/D,
SPP900466,00:00:15:00,#N/D,
SPP900467,00:00:15:00,#N/D,
SPP900468,00:00:15:00,#N/D,
SPP900469,00:00:15:00,#N/D,
SPP900470,00:00:15:00,#N/D,
SPP900471,00:00:15:00,#N/D,
SPP900472,00:00:15:00,#N/D,
SPP900473,00:00:15:00,#N/D,
SPP900474,00:00:15:00,#N/D,
SPP900475,00:00:15:00,#N/D,
SPP900476,00:00:15:00,#N/D,
SPP900477,00:00:15:00,#N/D,
SPP900478,00:00:15:00,#N/D,
SPP900479,00:00:15:00,#N/D,
SPP900480,00:00:15:00,#N/D,
SPP900481,00:00:30:00,#N/D,
SPP900482,00:00:30:00,#N/D,
SPP900483,00:00:30:00,#N/D,
SPP900484,00:00:30:00,#N/D,
SPP900485,00:00:30:00,#N/D,
SPP900486,00:00:15:00,#N/D,
SPP900487,00:00:15:00,#N/D,
SPP900488,00:00:15:00,#N/D,
SPP900489,00:00:15:00,#N/D,
SPP900490,00:00:15:00,#N/D,
SPP900491,00:00:10:00,#N/D,
SPP900492,00:00:10:00,#N/D,
SPP900493,00:00:10:00,#N/D,
SPP900494,00:00:10:00,#N/D,
SPP900495,00:00:10:00,#N/D,
SPP900496,00:00:10:00,#N/D,
SPP900497,00:00:10:00,#N/D,
SPP900498,00:00:10:00,#N/D,
SPP900499,00:00:10:00,#N/D,
SPP900500,00:00:10:00,#N/D,
SPP900501,00:00:10:00,#N/D,
SPP900502,00:00:10:00,#N/D,
SPP900503,00:00:10:00,#N/D,
SPP900504,00:00:10:00,#N/D,
SPP900505,00:00:10:00,#N/D,
SPP900506,00:00:10:00,#N/D,
SPP900507,00:00:10:16,#N/D,
SPP900508,00:00:10:00,#N/D,
SPP900509,00:00:10:00,#N/D,
SPP900512,00:00:15:00,#N/D,
SPP900513,00:00:30:00,#N/D,
SPP900514,00:00:15:00,#N/D,
SPP900515,00:00:30:00,#N/D,
SPP900516,00:00:15:00,#N/D,
SPP900517,00:00:30:00,#N/D,
SPP900518,00:00:15:00,#N/D,
SPP900519,00:00:30:00,#N/D,
SPP900520,00:00:30:00,#N/D,
SPP900523,00:00:30:00,#N/D,
SPP900524,00:00:30:00,#N/D,
SPP900525,00:00:30:00,#N/D,
SPP900526,00:00:30:00,#N/D,
SPP900527,00:00:30:00,#N/D,
SPP900528,00:00:15:00,#N/D,
SPP900529,00:00:15:00,#N/D,
SPP900530,00:00:15:00,#N/D,
SPP900531,00:00:15:00,#N/D,
SPP900532,00:00:15:00,#N/D,
SPP900533,00:00:30:00,#N/D,
SPP900534,00:00:30:00,#N/D,
SPP900535,00:00:30:00,#N/D,
SPP900536,00:00:30:00,#N/D,
SPP900537,00:00:30:00,#N/D,
SPP900538,00:00:15:00,#N/D,
SPP900539,00:00:15:00,#N/D,
SPP900540,00:00:15:00,#N/D,
SPP900541,00:00:15:00,#N/D,
SPP900542,00:00:15:00,#N/D,
SPP900543,00:00:30:00,#N/D,
SPP900544,00:00:30:00,#N/D,
SPP900545,00:00:30:00,#N/D,
SPP900546,00:00:30:00,#N/D,
SPP900547,00:00:30:00,#N/D,
SPP900548,00:00:15:00,#N/D,
SPP900549,00:00:15:00,#N/D,
SPP900550,00:00:15:00,#N/D,
SPP900551,00:00:15:00,#N/D,
SPP900552,00:00:15:00,#N/D,
SPP900553,00:00:30:00,#N/D,
SPP900554,00:00:30:00,#N/D,
SPP900555,00:00:30:00,#N/D,
SPP900556,00:00:30:00,#N/D,
SPP900557,00:00:30:00,#N/D,
SPP900560,00:00:15:00,#N/D,
SPP900561,00:00:15:00,#N/D,
SPP900562,00:00:15:00,#N/D,
SPP900563,00:00:30:00,#N/D,
SPP900564,00:00:30:00,#N/D,
SPP900565,00:00:30:00,#N/D,
SPP900566,00:00:30:00,#N/D,
SPP900567,00:00:30:00,#N/D,
SPP900568,00:00:15:00,#N/D,
SPP900569,00:00:15:00,#N/D,
SPP900570,00:00:15:00,#N/D,
SPP900571,00:00:15:00,#N/D,
SPP900572,00:00:15:00,#N/D,
SPP900573,00:00:30:00,#N/D,
SPP900574,00:00:30:00,#N/D,
SPP900575,00:00:30:00,#N/D,
SPP900576,00:00:30:00,#N/D,
SPP900577,00:00:30:00,#N/D,
SPP900578,00:00:15:00,#N/D,
SPP900579,00:00:15:00,#N/D,
SPP900580,00:00:15:00,#N/D,
SPP900581,00:00:15:00,#N/D,
SPP900582,00:00:15:00,#N/D,
SPP900583,00:00:30:00,#N/D,
SPP900584,00:00:30:00,#N/D,
SPP900585,00:00:30:00,#N/D,
SPP900586,00:00:30:00,#N/D,
SPP900587,00:00:30:00,#N/D,
SPP900588,00:00:15:00,#N/D,
SPP900589,00:00:15:00,#N/D,
SPP900590,00:00:15:00,#N/D,
SPP900591,00:00:15:00,#N/D,
SPP900592,00:00:15:00,#N/D,
SPP900593,00:00:45:00,#N/D,
SPP900594,00:00:30:00,#N/D,
SPP900595,00:00:15:00,#N/D,
SPP900596,00:00:30:00,#N/D,
SPP900597,00:00:15:00,#N/D,
SPP900598,00:00:30:00,#N/D,
SPP900599,00:00:15:00,#N/D,
SPP900600,00:00:30:00,#N/D,
SPP900601,00:00:30:00,#N/D,
SPP900602,00:00:30:00,#N/D,
SPP900603,00:00:30:00,#N/D,
SPP900604,00:00:30:00,#N/D,
SPP900605,00:00:30:00,#N/D,
SPP900606,00:00:15:00,#N/D,
SPP900607,00:00:15:00,#N/D,
SPP900608,00:00:15:00,#N/D,
SPP900609,00:00:15:00,#N/D,
SPP900610,00:00:15:00,#N/D,
SPP900611,00:00:15:00,#N/D,
SPP900612,00:00:30:00,#N/D,
SPP900613,00:00:30:00,#N/D,
SPP900614,00:00:15:00,#N/D,
SPP900615,00:00:30:00,#N/D,
SPP900616,00:00:30:00,#N/D,
SPP900617,00:00:30:00,#N/D,
SPP900618,00:00:30:00,#N/D,
SPP900619,00:00:30:00,#N/D,
SPP900620,00:00:15:00,#N/D,
SPP900621,00:00:15:00,#N/D,
SPP900622,00:00:15:00,#N/D,
SPP900623,00:00:15:00,#N/D,
SPP900624,00:00:15:00,#N/D,
SPP900625,00:00:30:00,#N/D,
SPP900626,00:00:30:00,#N/D,
SPP900627,00:00:30:00,#N/D,
SPP900628,00:00:30:00,#N/D,
SPP900629,00:00:30:00,#N/D,
SPP900630,00:00:15:00,#N/D,
SPP900631,00:00:15:00,#N/D,
SPP900632,00:00:15:00,#N/D,
SPP900633,00:00:15:00,#N/D,
SPP900634,00:00:15:00,#N/D,
SPP900635,00:00:30:00,#N/D,
SPP900636,00:00:30:00,#N/D,
SPP900637,00:00:30:00,#N/D,
SPP900638,00:00:30:00,#N/D,
SPP900639,00:00:30:00,#N/D,
SPP900640,00:00:15:00,#N/D,
SPP900641,00:00:15:00,#N/D,
SPP900642,00:00:15:00,#N/D,
SPP900643,00:00:15:00,#N/D,
SPP900644,00:00:15:00,#N/D,
SPP900645,00:00:30:00,#N/D,
SPP900646,00:00:30:00,#N/D,
SPP900647,00:00:30:00,#N/D,
SPP900648,00:00:30:00,#N/D,
SPP900649,00:00:30:00,#N/D,
SPP900650,00:00:15:00,#N/D,
SPP900651,00:00:15:00,#N/D,
SPP900652,00:00:15:00,#N/D,
SPP900653,00:00:15:00,#N/D,
SPP900654,00:00:15:00,#N/D,
SPP900655,00:00:30:00,#N/D,
SPP900656,00:00:30:00,#N/D,
SPP900657,00:00:30:00,#N/D,
SPP900658,00:00:30:00,#N/D,
SPP900659,00:00:30:00,#N/D,
SPP900660,00:00:15:00,#N/D,
SPP900661,00:00:15:00,#N/D,
SPP900662,00:00:15:00,#N/D,
SPP900663,00:00:15:00,#N/D,
SPP900664,00:00:15:00,#N/D,
SPP900665,00:00:30:00,#N/D,
SPP900666,00:00:30:00,#N/D,
SPP900667,00:00:30:00,#N/D,
SPP900668,00:00:30:00,#N/D,
SPP900669,00:00:30:00,#N/D,
SPP900670,00:00:15:00,#N/D,
SPP900671,00:00:15:00,#N/D,
SPP900672,00:00:15:00,#N/D,
SPP900673,00:00:15:00,#N/D,
SPP900674,00:00:15:00,#N/D,
SPP900675,00:00:30:00,#N/D,
SPP900676,00:00:30:00,#N/D,
SPP900677,00:00:30:00,#N/D,
SPP900678,00:00:15:00,#N/D,
SPP900679,00:00:15:00,#N/D,
SPP900680,00:00:15:00,#N/D,
SPP900681,00:00:30:00,#N/D,
SPP900682,00:00:30:00,#N/D,
SPP900683,00:00:30:00,#N/D,
SPP900684,00:00:30:00,#N/D,
SPP900685,00:00:30:00,#N/D,
SPP900686,00:00:15:00,#N/D,
SPP900687,00:00:45:00,#N/D,
SPP900688,00:00:30:00,#N/D,
SPP900689,00:00:30:00,#N/D,
SPP900690,00:00:30:00,#N/D,
SPP900691,00:00:15:00,#N/D,
SPP900692,00:00:15:00,#N/D,
SPP900693,00:00:15:00,#N/D,
SPP900694,00:01:00:00,#N/D,
SPP900695,00:01:00:00,#N/D,
SPP900696,00:01:00:00,#N/D,
SPP900697,00:01:00:00,#N/D,
SPP900698,00:01:00:00,#N/D,
SPP900699,00:00:30:00,#N/D,
SPP900700,00:00:15:00,#N/D,
SPP900702,00:00:30:00,#N/D,
SPP900703,00:00:30:00,#N/D,
SPP900704,00:00:30:00,#N/D,
SPP900705,00:00:30:00,#N/D,
SPP900707,00:00:15:00,#N/D,
SPP900708,00:00:15:00,#N/D,
SPP900709,00:00:15:00,#N/D,
SPP900710,00:00:15:00,#N/D,
SPP900712,00:00:30:00,#N/D,
SPP900713,00:00:30:00,#N/D,
SPP900714,00:00:30:00,#N/D,
SPP900715,00:00:30:00,#N/D,
SPP900717,00:00:15:00,#N/D,
SPP900718,00:00:15:00,#N/D,
SPP900719,00:00:15:00,#N/D,
SPP900720,00:00:15:00,#N/D,
SPP900721,00:00:30:00,#N/D,
SPP900722,00:00:30:00,#N/D,
SPP900723,00:00:30:00,#N/D,
SPP900724,00:00:30:00,#N/D,
SPP900725,00:00:30:00,#N/D,
SPP900726,00:00:15:00,#N/D,
SPP900727,00:00:15:00,#N/D,
SPP900728,00:00:15:00,#N/D,
SPP900729,00:00:15:00,#N/D,
SPP900730,00:00:15:00,#N/D,
SPP900731,00:00:30:00,#N/D,
SPP900732,00:00:30:00,#N/D,
SPP900733,00:00:30:00,#N/D,
SPP900734,00:00:30:00,#N/D,
SPP900735,00:00:30:00,#N/D,
SPP900736,00:00:15:00,#N/D,
SPP900737,00:00:15:00,#N/D,
SPP900738,00:00:15:00,#N/D,
SPP900739,00:00:15:00,#N/D,
SPP900740,00:00:15:00,#N/D,
SPP900741,00:00:30:00,#N/D,
SPP900742,00:00:30:00,#N/D,
SPP900743,00:00:30:00,#N/D,
SPP900744,00:00:30:00,#N/D,
SPP900745,00:00:30:00,#N/D,
SPP900746,00:00:15:00,#N/D,
SPP900747,00:00:15:00,#N/D,
SPP900748,00:00:15:00,#N/D,
SPP900749,00:00:15:00,#N/D,
SPP900750,00:00:15:00,#N/D,
SPP900751,00:00:30:00,#N/D,
SPP900752,00:00:30:00,#N/D,
SPP900753,00:00:30:00,#N/D,
SPP900754,00:00:30:00,#N/D,
SPP900755,00:00:30:00,#N/D,
SPP900756,00:00:30:00,#N/D,
SPP900757,00:00:30:00,#N/D,
SPP900758,00:00:30:00,#N/D,
SPP900759,00:00:30:00,#N/D,
SPP900760,00:00:30:00,#N/D,
SPP900761,00:00:15:00,#N/D,
SPP900762,00:00:15:00,#N/D,
SPP900763,00:00:15:00,#N/D,
SPP900764,00:00:15:00,#N/D,
SPP900765,00:00:15:00,#N/D,
SPP900766,00:00:15:00,#N/D,
SPP900767,00:00:15:00,#N/D,
SPP900768,00:00:15:00,#N/D,
SPP900769,00:00:15:00,#N/D,
SPP900770,00:00:15:00,#N/D,
SPP900771,00:00:45:00,#N/D,
SPP900772,00:00:15:00,#N/D,
SPP900773,00:01:00:00,#N/D,
SPP900774,00:00:30:00,#N/D,
SPP900775,00:00:30:00,#N/D,
SPP900776,00:00:30:00,#N/D,
SPP900777,00:00:15:00,#N/D,
SPP900778,00:00:15:00,#N/D,
SPP900779,00:00:15:00,#N/D,
SPP900780,00:00:20:00,#N/D,
SPP900781,00:00:15:00,#N/D,
SPP900782,00:00:15:00,#N/D,
SPP900783,00:00:15:00,#N/D,
SPP900784,00:00:15:00,#N/D,
SPP900785,00:00:15:00,#N/D,
SPP900786,00:00:20:00,#N/D,
SPP900787,00:00:30:00,#N/D,
SPP900788,00:00:30:00,#N/D,
SPP900789,00:00:30:00,#N/D,
SPP900790,00:00:30:00,#N/D,
SPP900791,00:00:30:00,#N/D,
SPP900792,00:00:15:00,#N/D,
SPP900793,00:00:15:00,#N/D,
SPP900794,00:00:15:00,#N/D,
SPP900795,00:00:15:00,#N/D,
SPP900796,00:00:15:00,#N/D,
SPP900797,00:00:30:00,#N/D,
SPP900798,00:00:30:00,#N/D,
SPP900799,00:00:30:00,#N/D,
SPP900800,00:00:30:00,#N/D,
SPP900801,00:00:30:00,#N/D,
SPP900802,00:00:15:00,#N/D,
SPP900803,00:00:15:00,#N/D,
SPP900804,00:00:15:00,#N/D,
