Kolumna1,Kolumna2,Kolumna3,Kolumna4
G027565,00:00:10:00,#N/D,
G027566,00:00:10:00,#N/D,
G027567,00:00:20:00,#N/D,
G027585,00:00:15:00,#N/D,
G027611,00:00:20:00,#N/D,
G027626,00:00:20:00,#N/D,
G027629,00:00:25:00,#N/D,
G027658,00:00:25:00,#N/D,
G027675,00:00:25:00,#N/D,
G027689,00:00:15:00,#N/D,
G027690,00:00:10:00,#N/D,
G027692,00:00:25:00,#N/D,
G027693,00:00:15:00,#N/D,
G027717,00:00:20:00,#N/D,
G027739,00:00:20:00,#N/D,
G027740,00:00:20:00,#N/D,
G027741,00:00:20:00,#N/D,
G027763,00:00:10:00,#N/D,
G027764,00:00:10:00,#N/D,
G027765,00:00:20:00,#N/D,
G027766,00:00:20:00,#N/D,
G027774,00:00:25:00,#N/D,
G027775,00:00:15:00,#N/D,
G027776,00:00:15:00,#N/D,
G027808,00:00:25:00,#N/D,
G027822,00:00:30:00,#N/D,
G027825,00:00:30:00,#N/D,
G027841,00:00:20:01,#N/D,
G027848,00:00:39:23,#N/D,
G027849,00:00:39:23,#N/D,
G027850,00:00:33:20,#N/D,
G027851,00:00:33:05,#N/D,
G027852,00:00:25:00,#N/D,
G027870,00:00:39:23,#N/D,
G027874,00:00:25:00,#N/D,
G027875,00:00:25:00,#N/D,
G027876,00:00:25:00,#N/D,
G027878,00:00:25:00,#N/D,
G027887,00:00:10:00,#N/D,
G027888,00:00:10:00,#N/D,
G027889,00:00:10:00,#N/D,
G027890,00:00:40:00,#N/D,
G027899,00:00:30:00,#N/D,
G027906,00:00:25:00,#N/D,
G027907,00:00:25:00,#N/D,
G027908,00:00:25:00,#N/D,
G027909,00:00:25:00,#N/D,
G027917,00:00:30:01,#N/D,
G027918,00:00:20:00,#N/D,
G027920,00:01:00:00,#N/D,
G027921,00:02:00:00,#N/D,
G027922,00:03:00:00,#N/D,
G027923,00:04:00:00,#N/D,
G027924,00:01:00:00,#N/D,
G027925,00:02:00:00,#N/D,
G027926,00:03:00:00,#N/D,
G027927,00:04:00:00,#N/D,
G027928,00:00:10:00,#N/D,
G027930,00:00:30:00,#N/D,
G027969,00:00:20:00,#N/D,
G027970,00:00:25:00,#N/D,
G027971,00:00:25:00,#N/D,
G027972,00:00:25:00,#N/D,
G027973,00:00:25:00,#N/D,
G027974,00:00:25:00,#N/D,
